ACCT,SUB-ACCT,OBJ-CLS,AMT,DR-CR
7000,73,RT,688.71,S
7001,80,LR,70482.22,D
7002,52,CP,68.22,L
7003,64,SC,4185.8,S
7004,93,OZ,315003.95,D
7005,43,AG,79.47,D
7006,18,PP,20665.11,D
7007,31,GB,695.65,C
7008,90,WV,3402.7,L
7009,80,KB,19865.62,L
7010,45,WX,21876.23,D
7011,80,KA,5811.82,D
7012,24,HO,496.84,L
7013,27,EF,217613.95,D
7014,30,OQ,112388.5,C
7015,91,BF,59217.79,B
7016,74,TJ,80924.53,D
7017,23,RD,879994.85,C
7018,43,JI,11.96,S
7019,67,XH,60.74,L
7020,48,LF,60.69,D
7021,99,IN,60.4,C
7022,43,YT,50842.63,C
7023,54,DL,62432.8,S
7024,14,CD,365759.82,S
7025,40,HF,57175.22,L
7026,93,TH,1724.7,L
7027,56,UN,31980.11,D
7028,33,XO,568.57,B
7029,90,CB,9273.24,C
7030,99,VP,5940.58,B
7031,22,ZZ,862.2,S
7032,70,VK,475.76,S
7033,56,YG,501.2,L
7034,19,XH,95333.28,C
7035,44,BF,6967.67,D
7036,65,JT,41709.37,D
7037,95,AZ,58515.6,B
7038,23,EI,26151.94,C
7039,34,EX,677.47,L
7040,82,AD,56.88,S
7041,65,EG,21315.45,D
7042,19,KH,28067.58,D
7043,80,PL,39099.69,L
7044,15,JG,6240.39,B
7045,26,PL,8930.68,L
7046,9,MS,7211.4,S
7047,76,GY,7469.19,S
7048,95,FU,217370.5,D
7049,20,WC,560885.6,D
7050,95,AK,40659.89,C
7051,37,DC,7064.6,D
7052,40,PC,2557.63,L
7053,19,EQ,95961.39,L
7054,46,QG,14939.39,D
7055,50,YN,56045.58,C
7056,91,AC,18227.23,S
7057,20,FK,7855.76,B
7058,75,ZQ,420.72,B
7059,16,FQ,27442.91,S
7060,32,ZK,7243.7,S
7061,37,GZ,843.41,D
7062,60,VK,3481.93,D
7063,36,QY,73.1,L
7064,77,FH,95691.25,C
7065,69,LC,13.36,D
7066,45,UC,877.54,L
7067,18,MM,37.3,B
7068,65,FW,994386.7,C
7069,81,WH,3975.22,C
7070,95,KF,94.16,C
7071,73,SZ,71382.56,C
7072,21,OD,1462.2,D
7073,17,JO,51501.43,C
7074,97,MO,7498.7,S
7075,62,SE,24.48,B
7076,18,ND,918977.56,D
7077,73,TE,3283.22,D
7078,0,ZH,8180.97,S
7079,60,SV,37434.87,C
7080,36,YE,887.1,C
7081,60,GW,577320.93,L
7082,42,AS,19.45,D
7083,3,BM,340031.19,L
7084,41,GW,651636.38,C
7085,95,CD,3227.35,C
7086,82,FK,442245.71,C
7087,61,TQ,94577.72,C
7088,39,JR,990.1,D
7089,37,YO,884.68,L
7090,14,YS,272810.85,S
7091,25,YS,46692.7,D
7092,86,QN,41.15,C
7093,72,UV,76.99,C
7094,69,WX,57.65,S
7095,44,UJ,56205.53,S
7096,70,ET,495.27,B
7097,69,FS,364.87,D
7098,42,VE,15.84,B
7099,58,ZW,1743.84,C
7100,29,PP,163131.61,B
7101,59,AA,105.55,L
7102,88,AF,11568.52,B
7103,63,KR,92663.36,S
7104,24,PZ,28.73,B
7105,11,SD,77.88,B
7106,69,JT,82915.13,C
7107,40,AP,513.17,B
7108,59,IV,92926.28,B
7109,32,PJ,115709.69,B
7110,19,LC,521.48,S
7111,80,BG,8020.44,S
7112,45,RM,2171.66,L
7113,7,ZJ,9238.46,B
7114,41,WY,530.32,L
7115,97,WE,82424.62,L
7116,18,LW,5139.61,S
7117,59,FW,24.91,C
7118,11,SP,83.49,L
7119,56,TL,868141.73,B
7120,71,KF,993.39,C
7121,47,CR,2819.81,S
7122,98,WA,5041.3,D
7123,65,TH,872.55,B
7124,4,WH,24.98,C
7125,66,VU,535266.78,B
7126,66,LB,4024.3,B
7127,45,GX,27.99,C
7128,85,EN,37.76,S
7129,54,WM,361.54,S
7130,26,WK,4405.63,S
7131,56,XO,19978,C
7132,98,FX,97367.35,S
7133,53,RY,91.45,D
7134,55,VF,94437.63,C
7135,57,LE,8909.5,B
7136,88,EV,228.4,D
7137,80,XE,1880.81,D
7138,36,SH,4327.57,C
7139,32,JW,306.3,B
7140,97,KQ,11209.3,L
7141,10,PK,14361.41,L
7142,44,AA,7838.21,C
7143,53,MX,48.73,S
7144,55,UD,95149.21,D
7145,30,UD,1027.2,C
7146,42,VA,938094.68,D
7147,77,VJ,548769.96,C
7148,89,HN,6718.17,L
7149,32,BI,103590.58,C
7150,19,CH,5868.94,C
7151,43,SO,259462.29,D
7152,62,AS,463.8,S
7153,15,QA,99520.99,D
7154,8,UT,594.22,S
7155,55,VQ,840966.76,C
7156,22,IG,867285.52,B
7157,11,MR,24518.18,C
7158,73,HL,2858.87,S
7159,74,NJ,8444.97,D
7160,89,HA,15274.18,S
7161,73,ZN,77.74,C
7162,7,ZK,67995.43,L
7163,15,HR,58.7,C
7164,26,NS,7079.55,C
7165,24,MD,9098.16,S
7166,45,SU,53.4,B
7167,4,EA,5939.5,D
7168,38,YO,21.59,L
7169,13,QQ,861.47,L
7170,46,GX,7456.82,L
7171,0,XZ,17.49,S
7172,0,AI,18.12,S
7173,48,NI,46.71,L
7174,28,IU,629.5,D
7175,21,CV,131004.1,S
7176,27,RB,42.82,L
7177,25,FT,416249.78,C
7178,24,IV,6283.72,L
7179,46,RF,9454.82,D
7180,88,BX,281391.72,D
7181,55,VH,33249.8,B
7182,89,OC,79.13,L
7183,69,QP,87.18,C
7184,41,RR,29148.6,D
7185,63,WY,556534.32,B
7186,36,TZ,91.59,C
7187,97,UI,230.55,C
7188,74,AI,704.65,D
7189,99,RC,636,S
7190,47,BQ,739.52,S
7191,15,AA,217591.76,D
7192,97,PK,393356.82,S
7193,14,XZ,68.43,D
7194,86,PC,5409.89,C
7195,54,NM,790.15,S
7196,85,WN,51010.94,B
7197,44,IM,18193.15,C
7198,73,YL,99620.43,D
7199,10,MA,742.61,D
7200,40,VV,9743.46,D
7201,21,RC,426787.58,B
7202,43,UT,879.9,L
7203,4,BY,4264.8,D
7204,73,OS,36.1,C
7205,78,ET,16.12,L
7206,49,GP,720089.27,D
7207,50,BV,60545.91,B
7208,23,AG,763.68,D
7209,79,VK,98.7,L
7210,98,FO,887297.31,D
7211,29,MK,68280.73,S
7212,70,AL,93.94,B
7213,63,ZR,24362.63,L
7214,54,BG,77.1,C
7215,5,BY,876743.79,C
7216,80,VO,695.22,C
7217,8,NQ,67.22,L
7218,65,AV,346.21,S
7219,43,WI,925090.73,B
7220,12,KJ,36794.41,L
7221,99,PE,43494.76,D
7222,59,GH,578.43,L
7223,14,AR,688373.3,S
7224,51,HD,40.67,L
7225,21,UL,95.72,C
7226,17,QP,698.54,S
7227,95,FB,49.4,L
7228,33,PL,64.49,B
7229,40,GL,4519.92,S
7230,64,LZ,9172.71,L
7231,44,AP,747829.57,C
7232,4,WY,791645.47,L
7233,59,MZ,187738.42,C
7234,15,DO,8744.11,D
7235,68,DJ,664085.4,B
7236,36,KS,1609.53,S
7237,41,UZ,56.24,L
7238,30,UA,19.8,B
7239,18,KI,9285.68,L
7240,71,SY,783.55,S
7241,71,ML,47134.3,D
7242,76,KJ,9653.7,C
7243,86,DS,368666.14,L
7244,49,VR,247496.3,L
7245,68,GV,1911.33,L
7246,91,AF,811221.45,B
7247,99,UR,83741.3,C
7248,50,HQ,558656.25,S
7249,71,MB,451302.18,B
7250,56,KI,404240.79,D
7251,7,ME,549081.87,D
7252,7,CL,676558.15,S
7253,79,FW,445.52,D
7254,24,IW,7669.4,D
7255,7,IB,1102.86,D
7256,39,JM,99.4,B
7257,49,DG,744.3,D
7258,16,YV,11686.87,L
7259,41,EE,82.63,C
7260,56,KE,710.16,D
7261,46,XQ,156.78,B
7262,29,PA,645746.71,L
7263,53,MB,389.81,C
7264,86,LE,7008.92,C
7265,37,JH,1489.2,L
7266,64,HS,3580.34,L
7267,3,HX,601601.31,C
7268,22,FR,7363.57,C
7269,46,XC,55362.17,D
7270,25,IJ,546009.16,L
7271,42,PL,69.9,D
7272,65,JM,335.83,B
7273,6,NR,58.92,D
7274,52,NL,8982.45,B
7275,71,MG,61.19,B
7276,50,UO,8207.53,C
7277,48,VR,13440.23,S
7278,9,IB,356999.49,S
7279,88,KV,25.69,C
7280,15,YM,18.64,C
7281,76,PM,811680.56,S
7282,14,MR,232.44,L
7283,30,KC,19675.8,C
7284,35,ZA,72.76,B
7285,60,OZ,80.57,B
7286,83,HM,539.23,L
7287,6,AV,58805.19,B
7288,14,PD,84687.32,L
7289,21,WN,951175.98,L
7290,78,PR,18.85,S
7291,82,BB,381.94,C
7292,72,GQ,310.66,D
7293,58,GE,194.58,S
7294,79,YD,28597.3,B
7295,60,JL,28.31,D
7296,93,IL,3585.27,C
7297,25,TT,7374.66,S
7298,22,WS,556649.63,C
7299,10,VN,706292.37,S
7300,36,OB,903.3,L
7301,68,LC,168774.58,C
7302,81,EL,283.5,B
7303,78,VG,50.37,C
7304,76,SD,23909.15,C
7305,57,YT,380.13,C
7306,97,NK,1291.67,B
7307,83,EV,252.23,S
7308,7,TA,3251.93,L
7309,96,XJ,401.75,C
7310,99,YO,65631.9,B
7311,72,AS,52918.11,C
7312,85,QF,290.44,C
7313,81,ZY,299.45,B
7314,16,KK,12698.4,L
7315,83,DS,410720.45,S
7316,20,EO,77408.7,L
7317,60,LP,172.47,L
7318,79,GH,36741.21,L
7319,18,BQ,8347.39,D
7320,73,NV,99.54,B
7321,33,TM,994508.89,L
7322,64,IS,42.19,L
7323,41,CU,74698.1,C
7324,47,WW,19.68,B
7325,98,RR,427598.63,L
7326,46,MX,681.44,B
7327,81,WJ,62.34,D
7328,18,UN,4610,L
7329,52,EX,9185.81,B
7330,22,HJ,432.49,B
7331,51,TX,56.88,B
7332,54,KW,88.48,C
7333,42,HE,534.88,B
7334,39,DF,96.44,D
7335,95,UK,5348.15,B
7336,86,WI,5510.96,C
7337,94,JJ,102919.49,C
7338,10,QG,850.88,L
7339,54,KL,21506.58,C
7340,26,TB,35.38,S
7341,96,NJ,35184.62,B
7342,96,PI,56931.91,L
7343,35,TX,74.17,S
7344,28,OC,807.97,B
7345,19,MS,6877.93,S
7346,32,VP,812.95,B
7347,52,QQ,64.92,C
7348,14,ZJ,713.87,C
7349,45,WE,2279.81,C
7350,93,VR,22081.53,B
7351,5,RW,23664.41,L
7352,8,EG,78077.6,S
7353,40,LD,813.99,L
7354,66,LD,95471.45,L
7355,56,WL,523172.79,S
7356,57,JG,19.2,S
7357,33,ZS,4516.33,L
7358,64,YQ,762218.24,C
7359,59,KN,68.77,S
7360,69,TZ,48.24,S
7361,69,JQ,10356.15,C
7362,40,CZ,26.16,B
7363,13,KD,69043.62,L
7364,47,VK,425623.22,L
7365,91,IL,52967.87,D
7366,36,TF,2808.4,C
7367,38,OH,3574.31,D
7368,54,FL,71.84,B
7369,81,NI,34.2,B
7370,60,BR,41572.75,D
7371,83,TZ,54.28,S
7372,22,WX,9517.15,B
7373,12,NO,324.64,S
7374,27,BJ,1704.51,L
7375,44,TL,279.31,B
7376,85,FX,290.9,D
7377,89,XL,254.41,L
7378,71,QK,973.27,C
7379,92,RL,4374.32,S
7380,83,YD,5700.6,S
7381,32,VQ,377.94,S
7382,94,SD,525.47,C
7383,14,HJ,105909.15,C
7384,13,RE,10394.62,C
7385,55,BR,95.77,C
7386,46,MF,61600.44,L
7387,41,AD,18063.9,C
7388,77,OE,8012.64,D
7389,0,HP,15.57,C
7390,10,DL,280.56,B
7391,40,TR,580054.31,B
7392,64,DE,113.2,S
7393,28,XM,7676.71,L
7394,81,NJ,16.53,L
7395,24,GA,4308.48,D
7396,89,MZ,610574.32,S
7397,68,VG,693.42,C
7398,75,ML,1591.17,C
7399,11,RX,37571.95,S
7400,57,UD,354.61,S
7401,40,IO,106.83,B
7402,57,IQ,2298.41,S
7403,93,DJ,40283.13,B
7404,72,HB,90.98,S
7405,47,UI,85786.24,L
7406,37,OM,30.7,B
7407,64,KC,149.49,C
