ITEM-NBR,ITEM-ESTD-CST,ITEM-DESC,ACTL-NBR,ACTL-AMT,RQSTD-NBR,RQSTD-AMT,PROJD-NBR,PROJD-AMT
145,-86597.01,Cultivator,7000,-48888,108638,19969,742851,87500
148,-24525.91,Rear Engine Lawnmower,7001,98054,378297,-34206,336947,-54993
136,13918.34,Irrigation Pump,7002,37586,698446,-34211,844203,-56366
104,-90009.61,Combine Tractor,7003,619,519515,-48125,612982,-31398
129,-68557.69,Planter,7004,-78652,594027,-39036,640838,48852
118,77153.89,Pelican Bucket,7005,50216,580697,-15058,508646,78154
127,-24856.24,Chain Saw,7006,-72132,822806,-2187,822600,-50991
125,-96299.69,Front End Loader,7007,7973,329314,-26758,639993,2628
146,-91325.87,Harrow,7008,63003,492466,84968,231548,-13862
111,4578.19,Straw Blower,7009,-89930,385598,5981,364100,-78271
103,22604.84,Four Wheel Drive Tractor,7010,31010,852813,-75273,204876,-3652
142,85370.08,Plow,7011,83134,875924,-20781,420435,54723
100,-51670.87,Compact Utility Tractor,7012,59072,194925,24735,333342,6834
109,-76404.19,Digger,7013,43153,892452,-2733,813306,-12259
144,-57423.95,Trowel,7014,-34337,548460,10019,582526,-66920
133,67206.03,Drill Press,7015,-66901,432612,-36280,150422,10955
134,72307.42,Chop Saw,7016,-61996,934250,58723,790443,97581
123,-6113.54,Wagon,7017,-87141,771408,-16568,791502,-65074
106,-37397.62,Cotton Picker Tractor,7018,48867,831561,30833,883071,-58877
122,-11257.57,Back Hoe,7019,79978,893243,22763,642060,23419
143,-14172.89,Thresher,7020,38191,447128,-82016,160586,45370
131,83478,Grab-Hoe,7021,-40882,696941,-95977,938870,79655
147,23902.58,Lawn Tractor,7022,75943,898895,-52632,224036,83664
121,74179.62,Loader,7023,-19949,295276,-64143,106582,-8308
113,-6902.75,Slurry Tanker,7024,67442,671642,-1667,595057,-53857
130,69512.91,Spade,7025,35168,241485,28859,398113,-29495
112,-19380.22,Bale Spear,7026,-97827,837466,-81506,928713,54458
110,-84819.35,Mulch Tiller,7027,59141,221934,58403,308703,61479
138,78682.72,Bulb Planter,7028,-28610,932372,-45890,520285,-13649
120,-5154.66,Seed Drill,7029,22956,583443,-11540,490007,-3970
115,-52120.77,Backhoe,7030,-88260,863171,51681,980374,63219
141,50629.07,Rake,7031,-57021,674707,34783,117199,-34172
137,66846.62,Seed Drill,7032,-81631,693454,-77129,390002,37094
108,-21424.55,Round Baler,7033,83372,659148,-75695,779786,-48810
116,62409.7,Square Baler,7034,-43203,283454,74255,455292,44830
126,78338.83,Fertilizer Spreader,7035,19648,267305,4083,358324,-35360
139,94862.07,Pick Mattock,7036,93610,958246,-57639,385468,75136
128,-1524.9,Saw Mill,7037,-77284,921121,-44652,769109,26628
140,35658.52,Sickle,7038,60646,989620,-79129,918470,29929
119,-12100.09,Wheelbarrow,7039,-86056,989988,-8944,190955,61931
135,61057.46,Backpack Sprayer,7040,-35221,676481,-18922,328547,-93814
124,30021.94,Lawnmower,7041,92674,925477,-94733,464101,-85325
149,-25389.43,Electric Lawnmower,7042,78829,676714,13406,481948,61850
114,73835.51,Grain Auger,7043,-93710,197306,-10725,835660,9611
101,-22980.33,Utility Tractor,7044,-33472,342197,-41681,532454,34639
105,14725.63,Cotton Stripper Tractor,7045,-38632,429951,8776,938832,72766
117,7340.19,Seeder,7046,56748,849259,48068,662833,48283
107,73865.79,Sugarcane Harvester,7047,-96259,119743,-75028,684149,32233
102,65741.64,Row-Crop Tractor,7048,-59829,969059,-52931,909711,25740
132,43031.03,Work Bench,7049,-95848,557826,-90633,126283,68138
145,-28496.14,Cultivator,7050,22432,449171,-58395,672087,27217
