FY,ENTY-CDE,BLK-NBR-5,SBSDRY-ACCT-HASH-TTL,ACCT-NBRS-HASH-TTL,MINOR-CDE-HASH-TTL,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,USER-INITS
40,96,15298,-6789,707294,306,98330.92,59.32,QKV
81,93,23725,-28,-7240,39,13117.2,450.37,BVI
81,97,52259,3773,694621,499,2227.34,-3713.28,SGH
41,4,69556,-8469,-58,186,-6627.51,38344.94,OPM
61,53,38732,12,17705,60,16.97,-94.77,ULX
20,59,38966,7810,839,64,3865.98,472.19,CQS
41,11,66076,-41676,30,52001,4561.9,358.99,QMT
61,66,16541,50,55941,29,-6476.61,24501.91,BLD
82,16,19597,-179,-35608,-82521,68.7,37663.72,KDZ
20,75,86907,6376,-33512,3692,62210.96,-514.97,UYT
41,24,3386,936,10,3990,6994.23,563.47,BKS
41,26,75552,-79700,369957,5554,825.45,-522.58,SPF
41,27,19098,64,-167,7107,-72.94,-667.18,SQJ
61,76,8389,68,-240,121,-47.17,591.97,GTK
41,36,77001,6331,9946,23443,85.12,6573.85,NCD
82,33,78781,3637,-83683,66286,15016.1,14.95,DFK
41,39,51738,70438,84233,30974,88.25,51567.72,FYV
82,36,60560,39,4630,4469,37810.51,12396.83,MGJ
41,43,17844,9102,-78494,-3697,30.44,253.7,PXU
20,96,57247,-77662,-132,496,-80.75,7841.1,RUV
82,42,61116,20,232,4622,-2351.87,25.75,CQM
82,44,34397,69256,168541,34416,66653.72,-71403.46,KCF
21,0,2308,80788,85848,-264,-30.44,78855.75,LRT
62,1,75291,3188,64422,396,-811.33,36,QGB
62,2,61876,6157,300,27,8182.2,590.38,NZN
41,55,26284,-32586,9025,-797,46.96,58540.44,PSQ
21,9,39369,45177,35973,7041,7414.23,97469.82,ULA
82,56,6697,-65,236314,-831,588.85,6648.44,PIU
82,57,17296,82,21737,-62204,65.42,-82305.21,KJW
62,10,9380,37,833,-2638,4564.7,67689.24,SGP
41,63,67775,67254,74321,-12,68848.38,46.44,BNF
21,20,46972,42,1583,-61,49214.3,276.55,BIE
62,16,51161,10981,76,1120,-253.75,323.36,DOK
