INT-RATE-BORR,INT-RATE-BORR-1ST,APPLTN-CDE,FULLY-PD-CDE,FULLY-MTURD-CDE,ADVNC-UNCLSD-CDE,ACT-COLLCTN-ONLY-CDE,ASSOC-TYP-NOTE-CDE,PURCH-CDE,NBR-PYMTS-AMORTN,INSTLMTS-INT-ONLY-CNT,SALE-STAT-CDE,FIXD-PRD-INIT-LGTH,MORT-HLDR-CDE,YR-LN-CLSD,DTE-LN-SLD-OR-PLDGD,FMHA-DIR-TO-INSRD-CDE,DTE-CLSG,DTE-LN-EXPRTN,LN-AMT,RECVRBL-CST-CHGS,PRIN-CR-LN,INT-CR-LN,INT-FCL-LN,SCHED-STAT,PYMT-EXTRA-AMT-CUM,CR-NON-CSH-APPLTN-TYP-CDE,CR-NON-CSH-LST-AMT-APPLD,DTE-LST-NON-CSH-CR,DTE-LST-CSH-CR,DTE-NEXT-INSTLMT-DUE,INSTLMT-DUE-NEXT-AMT,INSTLMT-NEXT-TYP-CDE,MTURD-CDE-DIR-RE,DTE-INSTLMT-DUE,INSTLMT-DUE-AMT,INSTLMT-TYP-CDE,SUSP-CDE-LN,DTE-LST-RGSTR-DTL,RGSTR-TYP-LST-CHNG,LN-NBR-OLD,INT-ASSTNC-CDE,WRTF-CDE
2.9444,12.1971,3,0,0,3,0,1,C,233,1,2,44,76,20,2021-11-25,0,2015-12-01,2042-11-07,1864422.92,25107.74,39498.1,46031.01,19338.87,42860.89,58962.16,C,58341.72,2018-08-20,2014-01-07,2017-03-22,3527.9,6,5,2017-03-12,3185.39,M,8,2010-07-12,27,64,3,F
13.1653,12.9583,1,1,1,2,1,0,C,029,2,3,11,62,20,2019-09-23,1,2018-02-08,2046-02-02,1969574.44,47019.07,26645.67,42326.64,44274.66,13580.15,58153.22,R,64006.15,2014-02-19,2017-06-17,2018-08-22,2344.31,6,6,2016-08-30,2116.54,Q,7,2012-03-21,32,45,1,J
12.8263,3.7829,1,0,2,0,0,1,C,204,5,1,46,70,20,2017-02-20,1,2012-06-17,2048-05-16,3512121.52,43713.8,47831.2,36912.06,27208.65,43619.94,49367.84,S,35627.82,2019-01-02,2017-11-20,2014-06-27,1481.96,2,7,2012-09-12,3255.53,W,5,2019-12-06,40,50,5,N
8.9327,2.2264,2,1,2,2,1,0,T,050,5,1,25,80,20,2021-11-13,0,2011-04-08,2042-02-18,4929876.08,14443.44,22953.38,37967.04,18057.53,46975.51,55985.37,N,30968.47,2017-12-31,2013-11-16,2015-12-22,2018.27,4,5,2013-01-22,1151.5,S,7,2019-04-28,25,10,4,B
1.7158,12.9926,1,0,1,2,1,1,T,114,3,1,18,61,20,2018-05-18,1,2019-07-31,2041-04-11,3479721.38,42296.12,26839.01,22623.71,37297.84,16528.36,39127.57,B,82569.08,2013-05-02,2017-10-13,2014-10-05,2743.46,5,4,2019-11-15,2347.87,S,7,2011-03-29,23,60,3,X
10.5112,14.7324,2,0,0,1,0,1,C,151,4,2,26,68,20,2014-03-20,0,2012-09-17,2044-08-27,3102468.78,41069.17,49117.21,46399.83,29366.57,18173.01,22980.63,C,87727.5,2017-06-15,2015-05-20,2018-06-05,3522.82,4,4,2016-12-26,1267.68,A,5,2013-05-08,39,59,5,H
7.4248,9.5386,3,0,1,1,1,1,V,163,5,2,29,68,20,2014-05-23,0,2020-03-28,2048-10-12,3374889.89,43475.73,44590.38,28051.84,38974.07,44203.27,33562.89,X,84536.84,2013-07-25,2013-02-10,2015-07-21,3457.26,6,4,2012-07-07,1294.81,M,9,2012-06-28,22,33,5,M
11.9305,14.1801,3,1,1,1,0,1,V,136,2,2,15,67,20,2015-01-25,1,2020-04-28,2045-07-06,3712067.36,34775.72,30926.15,38110.5,17622.59,23681.95,58926.99,I,75363.51,2016-08-22,2019-11-09,2018-06-13,1976.35,5,7,2015-09-08,2610.35,M,6,2013-10-09,36,75,3,Y
3.8061,5.5172,1,0,2,2,1,1,V,070,2,4,21,64,20,2015-01-09,0,2011-10-26,2049-05-23,4330630.03,22993.55,27132.16,23847.65,17041.16,49168.39,43314.4,T,33607.41,2017-04-07,2015-11-02,2019-03-24,2778.85,5,7,2021-09-11,2984.56,S,8,2020-06-28,40,92,2,B
11.4385,1.9617,1,1,0,2,0,1,D,198,2,1,49,77,20,2013-08-10,0,2013-04-24,2049-09-05,600095.54,12996.47,47728.14,19136.83,26490.58,12245.74,47426.31,X,76521.37,2017-03-29,2013-10-30,2014-10-04,2686.22,4,5,2018-09-05,2672.96,M,9,2013-06-08,30,03,5,D
11.3346,10.7652,3,1,2,0,0,1,C,121,6,4,13,69,20,2013-11-16,0,2013-03-03,2044-10-28,2646467.7,21490.55,18050.77,49174.6,23005.42,43761.93,23090.98,W,57235.98,2017-12-06,2013-03-06,2013-12-07,3085.05,6,4,2015-05-27,2877.08,S,7,2017-08-20,22,08,4,M
